station,start_date,end_date,len_date_range,len_data,len_missing_dates
ABZ,01-01-14,07-02-15,403,365,38
ALE,25-11-12,30-11-13,371,365,6
AMA,04-02-15,31-12-16,697,365,332
AMM,01-08-16,31-07-17,365,349,16
ASP,23-02-05,01-03-06,372,365,7
BEI,01-12-18,31-12-19,396,365,31
BOT,07-12-06,31-01-08,421,365,56
BSL,01-01-10,01-01-11,366,365,1
DEL,07-01-17,31-03-18,449,281,168
EGB,03-05-07,28-04-08,362,343,19
FKL,05-06-08,15-04-09,315,211,104
HAD,01-02-13,25-04-14,449,365,84
HEL,23-11-16,24-11-17,367,365,2
HPB,01-01-10,31-12-10,365,365,0
HRW,18-01-06,29-12-06,346,201,145
HYY,07-07-03,06-07-04,366,365,1
KCE,27-06-14,26-06-15,365,365,0
KPZ,08-12-11,11-12-12,370,365,5
MAR,10-02-08,01-03-09,386,365,21
MHD,03-05-07,31-05-08,395,365,30
MLP,20-05-09,11-06-10,388,365,23
MUK,19-12-07,31-12-08,379,365,14
NAN,21-08-12,29-08-13,374,365,9
NEU,10-07-13,09-07-14,365,365,0
POV,01-01-03,15-01-04,380,365,15
PRL,04-04-09,06-05-13,1493,365,1128
SAO,06-10-10,31-08-11,330,277,53
SCH,17-05-13,20-05-14,369,365,4
SGP,15-04-13,06-05-14,387,365,22
UAE,20-02-18,14-02-19,360,225,135
VAR,02-04-03,03-04-04,368,365,3
VHL,01-01-08,31-12-08,366,297,69
VIE,01-10-14,05-10-15,370,365,5
WAL,05-07-12,04-07-13,365,365,0
ZOT,02-04-08,09-06-09,434,365,69
